rayon_id,rayon_name,year,facilities,rooms,beds,total_guests,domestic_tourists,foreign_tourists,total_nights,domestic_nights,foreign_nights,occupancy_rate,avg_stay,revenue_azn,employees,travel_agencies,population,area_km2
ujar,Ujar,2025,,,,,,,,,,,,,,,,
yardimli,Yardimli,2005,,,,,,,,,,,,,,,,
yardimli,Yardimli,2010,,,,,,,,,,,,,,,,
yardimli,Yardimli,2015,,,,,,,,,,,,,,,,
yardimli,Yardimli,2019,,,,,,,,,,,,,,,,
yardimli,Yardimli,2020,,,,,,,,,,,,,,,,
yardimli,Yardimli,2021,,,,,,,,,,,,,,,,
yardimli,Yardimli,2022,,,,,,,,,,,,,,,,
yardimli,Yardimli,2023,,,,,,,,,,,,,,,,
yardimli,Yardimli,2024,,,,,,,,,,,,,,,,
yardimli,Yardimli,2025,,,,,,,,,,,,,,,,
yevlakh,Yevlakh,2005,,,,,,,,,,,,,,,,
yevlakh,Yevlakh,2010,,,,,,,,,,,,,,,,
yevlakh,Yevlakh,2015,,,,,,,,,,,,,,,,
yevlakh,Yevlakh,2019,,,,,,,,,,,,,,,,
yevlakh,Yevlakh,2020,,,,,,,,,,,,,,,,
yevlakh,Yevlakh,2021,,,,,,,,,,,,,,,,
yevlakh,Yevlakh,2022,,,,,,,,,,,,,,,,
yevlakh,Yevlakh,2023,,,,,,,,,,,,,,,,
yevlakh,Yevlakh,2024,,,,,,,,,,,,,,,,
yevlakh,Yevlakh,2025,,,,,,,,,,,,,,,,
zangilan,Zangilan,2005,,,,,,,,,,,,,,,,
zangilan,Zangilan,2010,,,,,,,,,,,,,,,,
zangilan,Zangilan,2015,,,,,,,,,,,,,,,,
zangilan,Zangilan,2019,,,,,,,,,,,,,,,,
zangilan,Zangilan,2020,,,,,,,,,,,,,,,,
zangilan,Zangilan,2021,,,,,,,,,,,,,,,,
zangilan,Zangilan,2022,,,,,,,,,,,,,,,,
zangilan,Zangilan,2023,,,,,,,,,,,,,,,,
zangilan,Zangilan,2024,,,,,,,,,,,,,,,,
zangilan,Zangilan,2025,,,,,,,,,,,,,,,,
zaqatala,Zaqatala,2005,,,,,,,,,,,,,,,,
zaqatala,Zaqatala,2010,,,,,,,,,,,,,,,,
zaqatala,Zaqatala,2015,,,,,,,,,,,,,,,,
zaqatala,Zaqatala,2019,,,,,,,,,,,,,,,,
zaqatala,Zaqatala,2020,,,,,,,,,,,,,,,,
zaqatala,Zaqatala,2021,,,,,,,,,,,,,,,,
zaqatala,Zaqatala,2022,,,,,,,,,,,,,,,,
zaqatala,Zaqatala,2023,,,,,,,,,,,,,,,,
zaqatala,Zaqatala,2024,,,,,,,,,,,,,,,,
zaqatala,Zaqatala,2025,,,,,,,,,,,,,,,,
zardab,Zardab,2005,,,,,,,,,,,,,,,,
zardab,Zardab,2010,,,,,,,,,,,,,,,,
zardab,Zardab,2015,,,,,,,,,,,,,,,,
zardab,Zardab,2019,,,,,,,,,,,,,,,,
zardab,Zardab,2020,,,,,,,,,,,,,,,,
zardab,Zardab,2021,,,,,,,,,,,,,,,,
zardab,Zardab,2022,,,,,,,,,,,,,,,,
zardab,Zardab,2023,,,,,,,,,,,,,,,,
zardab,Zardab,2024,,,,,,,,,,,,,,,,
zardab,Zardab,2025,,,,,,,,,,,,,,,,
