page_number,section_id,indicator,region_name,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
49,5.1,Number of hotels and similar establishments (units),Yasamal rayonu,2.0,551.0,2.0,110.0,2.0,116.0
49,5.1,Number of hotels and similar establishments (units),Respublikası,1.0,517.0,1.0,517.0,1.0,517.0
49,5.1,Number of hotels and similar establishments (units),rayonu,1052.0,1087.0,1087.0,1.0,87.0,1.0
49,5.1,Number of hotels and similar establishments (units),Sumqayıt şəhəri,452.0,487.0,487.0,487.0,507.0,507.0
49,5.1,Number of hotels and similar establishments (units),Abşeron rayonu,452.0,452.0,452.0,452.0,452.0,467.0
49,5.1,Number of hotels and similar establishments (units),Xızı rayonu,148.0,148.0,148.0,148.0,148.0,148.0
49,5.1,Number of hotels and similar establishments (units),rayonu,1.0,738.0,1.0,738.0,1.0,834.0
49,5.1,Number of hotels and similar establishments (units),Ağsu rayonu,81.0,81.0,81.0,81.0,81.0,81.0
49,5.1,Number of hotels and similar establishments (units),İsmayıllı rayonu,816.0,816.0,912.0,1.0,312.0,1.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Qobustan rayonu,,,,,,
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Şamaxı rayonu,841.0,841.0,841.0,841.0,841.0,841.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),rayonu,2.0,281.0,2.0,342.0,2.0,342.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Gəncə şəhəri,1.0,329.0,1.0,390.0,1.0,390.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Naftalan şəhəri,617.0,617.0,617.0,617.0,617.0,1.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Daşkəsən rayonu,32.0,32.0,32.0,32.0,32.0,32.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Goranboy rayonu,123.0,123.0,123.0,123.0,167.0,167.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Göygöl rayonu,180.0,180.0,180.0,180.0,180.0,393.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Samux rayonu,,,,,,
50,5.2,Once capacity (beds) of hotels and similar establishments (units),rayonu,236.0,288.0,288.0,599.0,742.0,742.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Xankəndi şəhəri,,,,,,
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Ağcabədi rayonu,60.0,112.0,112.0,112.0,191.0,191.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Ağdam rayonu,,,,,,
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Ağdərə rayonu,,,,,,
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Bərdə rayonu,116.0,116.0,116.0,116.0,116.0,116.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Füzuli rayonu,30.0,30.0,30.0,30.0,30.0,30.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Xocalı rayonu,,,,,,
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Xocavənd rayonu,,,,,,
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Şuşa rayonu,,,,287.0,287.0,287.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Tərtər rayonu,30.0,30.0,30.0,54.0,118.0,118.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),rayonu,1.0,31.0,1.0,50.0,1.0,50.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Ağstafa rayonu,183.0,183.0,183.0,183.0,183.0,183.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Gədəbəy rayonu,238.0,238.0,238.0,238.0,248.0,248.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Qazax rayonu,212.0,212.0,212.0,174.0,174.0,174.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Şəmkir rayonu,132.0,151.0,151.0,207.0,207.0,151.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Tovuz rayonu,266.0,266.0,266.0,266.0,266.0,266.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),rayonu,10.0,462.0,10.0,931.0,10.0,991.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Xaçmaz rayonu,6.0,495.0,6.0,495.0,6.0,495.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Quba rayonu,1.0,627.0,1.0,718.0,1.0,778.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Qusar rayonu,2.0,253.0,2.0,289.0,2.0,289.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Siyəzən rayonu,,,,,,
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Şabran rayonu,87.0,429.0,429.0,429.0,598.0,642.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),iqtisadi rayonu,3.0,249.0,3.0,658.0,3.0,658.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Astara rayonu,293.0,293.0,293.0,411.0,501.0,589.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Cəlilabad rayonu,126.0,126.0,126.0,126.0,174.0,174.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Lerik rayonu,715.0,715.0,715.0,715.0,715.0,715.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Lənkəran rayonu,937.0,1.0,346.0,1.0,346.0,1.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Masallı rayonu,1.0,148.0,1.0,148.0,1.0,148.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Yardımlı rayonu,30.0,30.0,30.0,30.0,73.0,73.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),rayonu,1.0,324.0,1.0,334.0,1.0,334.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Mingəçevir şəhəri,695.0,705.0,705.0,705.0,705.0,705.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Ağdaş rayonu,35.0,35.0,35.0,35.0,35.0,35.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Göyçay rayonu,167.0,167.0,167.0,259.0,259.0,259.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Kürdəmir rayonu,234.0,234.0,234.0,234.0,234.0,304.0
50,5.2,Once capacity (beds) of hotels and similar establishments (units),Ucar rayonu,,,,,,
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Yevlax rayonu,173.0,173.0,173.0,173.0,173.0,173.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Zərdab rayonu,20.0,20.0,20.0,20.0,20.0,20.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),rayonu,295.0,295.0,295.0,295.0,329.0,440.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Beyləqan rayonu,133.0,133.0,133.0,133.0,133.0,176.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),İmişli rayonu,53.0,53.0,53.0,53.0,53.0,86.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Saatlı rayonu,27.0,27.0,27.0,27.0,61.0,96.0
51,5.2,Once capacity (beds) of hotels and similar establishments (units),Sabirabad rayonu,82.0,82.0,82.0,82.0,82.0,82.0
