year,direction,direction_en,transport_type,value_thousands,value
2009,gedən,outgoing,dəmir yolu,387.5,387500
2010,gedən,outgoing,dəmir yolu,543.1,543100
2011,gedən,outgoing,dəmir yolu,578.7,578700
2012,gedən,outgoing,dəmir yolu,666.4,666400
2013,gedən,outgoing,dəmir yolu,655.6,655600
2014,gedən,outgoing,dəmir yolu,380.1,380100
2015,gedən,outgoing,dəmir yolu,352.2,352200
2016,gedən,outgoing,dəmir yolu,396.8,396800
2017,gedən,outgoing,dəmir yolu,444.5,444500
2018,gedən,outgoing,dəmir yolu,513.2,513200
2019,gedən,outgoing,dəmir yolu,588.1,588100
2020,gedən,outgoing,dəmir yolu,21.8,21800
2021,gedən,outgoing,dəmir yolu,1.3,1300
2022,gedən,outgoing,dəmir yolu,1.9,1900
2023,gedən,outgoing,dəmir yolu,2.4,2400
2024,gedən,outgoing,dəmir yolu,2.9,2900
2006,gedən,outgoing,hava nəqliyyatı,406.3,406300
2007,gedən,outgoing,hava nəqliyyatı,360.8,360800
2008,gedən,outgoing,hava nəqliyyatı,419.5,419500
2009,gedən,outgoing,hava nəqliyyatı,448.9,448900
2010,gedən,outgoing,hava nəqliyyatı,631.9,631900
2011,gedən,outgoing,hava nəqliyyatı,699.3,699300
2012,gedən,outgoing,hava nəqliyyatı,768.8,768800
2013,gedən,outgoing,hava nəqliyyatı,861.2,861200
2014,gedən,outgoing,hava nəqliyyatı,893.1,893100
2015,gedən,outgoing,hava nəqliyyatı,843.3,843300
2016,gedən,outgoing,hava nəqliyyatı,890.7,890700
2017,gedən,outgoing,hava nəqliyyatı,825.9,825900
2018,gedən,outgoing,hava nəqliyyatı,875.9,875900
2019,gedən,outgoing,hava nəqliyyatı,930.0,930000
2020,gedən,outgoing,hava nəqliyyatı,277.5,277500
2021,gedən,outgoing,hava nəqliyyatı,670.1,670100
2022,gedən,outgoing,hava nəqliyyatı,964.3,964300
2023,gedən,outgoing,hava nəqliyyatı,1262.2,1262200
2024,gedən,outgoing,hava nəqliyyatı,1498.7,1498700
2006,gedən,outgoing,su nəqliyyatı,16.0,16000
2007,gedən,outgoing,su nəqliyyatı,17.3,17300
2008,gedən,outgoing,su nəqliyyatı,26.0,26000
2009,gedən,outgoing,su nəqliyyatı,30.7,30700
2010,gedən,outgoing,su nəqliyyatı,34.9,34900
2011,gedən,outgoing,su nəqliyyatı,39.0,39000
2012,gedən,outgoing,su nəqliyyatı,46.5,46500
2013,gedən,outgoing,su nəqliyyatı,38.6,38600
2014,gedən,outgoing,su nəqliyyatı,29.7,29700
2015,gedən,outgoing,su nəqliyyatı,53.2,53200
2016,gedən,outgoing,su nəqliyyatı,29.3,29300
2017,gedən,outgoing,su nəqliyyatı,12.3,12300
2018,gedən,outgoing,su nəqliyyatı,38.1,38100
2019,gedən,outgoing,su nəqliyyatı,39.9,39900
2020,gedən,outgoing,su nəqliyyatı,34.6,34600
2021,gedən,outgoing,su nəqliyyatı,31.8,31800
2022,gedən,outgoing,su nəqliyyatı,38.0,38000
2023,gedən,outgoing,su nəqliyyatı,45.4,45400
2024,gedən,outgoing,su nəqliyyatı,44.8,44800
2009,gedən,outgoing,digər,375.6,375600
2010,gedən,outgoing,digər,492.2,492200
2011,gedən,outgoing,digər,408.3,408300
2012,gedən,outgoing,digər,362.4,362400
2013,gedən,outgoing,digər,211.3,211300
2014,gedən,outgoing,digər,230.4,230400
2015,gedən,outgoing,digər,236.3,236300
2016,gedən,outgoing,digər,244.5,244500
2017,gedən,outgoing,digər,210.2,210200
2018,gedən,outgoing,digər,325.4,325400
2019,gedən,outgoing,digər,372.8,372800
2020,gedən,outgoing,digər,92.4,92400
2021,gedən,outgoing,digər,10.1,10100
2022,gedən,outgoing,digər,15.5,15500
2006,gələn,incoming,cəmi,1262.0,1262000
2007,gələn,incoming,cəmi,1332.7,1332700
2008,gələn,incoming,cəmi,1898.9,1898900
2009,gələn,incoming,cəmi,1830.4,1830400
2010,gələn,incoming,cəmi,1962.9,1962900
2011,gələn,incoming,cəmi,2239.2,2239200
2012,gələn,incoming,cəmi,2484.1,2484100
2013,gələn,incoming,cəmi,2508.9,2508900
2014,gələn,incoming,cəmi,2297.8,2297800
2015,gələn,incoming,cəmi,2006.2,2006200
2016,gələn,incoming,cəmi,2248.8,2248800
2017,gələn,incoming,cəmi,2696.7,2696700
2018,gələn,incoming,cəmi,2849.6,2849600
2019,gələn,incoming,cəmi,3170.4,3170400
2020,gələn,incoming,cəmi,795.7,795700
2021,gələn,incoming,cəmi,791.8,791800
2022,gələn,incoming,cəmi,1602.3,1602300
2023,gələn,incoming,cəmi,2085.8,2085800
2024,gələn,incoming,cəmi,2626.7,2626700
2006,gedən,outgoing,cəmi,1835.9,1835900
2007,gedən,outgoing,cəmi,1631.3,1631300
2008,gedən,outgoing,cəmi,2162.4,2162400
2009,gedən,outgoing,cəmi,2362.5,2362500
2010,gedən,outgoing,cəmi,3175.6,3175600
2011,gedən,outgoing,cəmi,3550.2,3550200
