file,title,region,year,value
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2007,6739.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2008,6348.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2009,6654.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2010,5708.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2011,3873.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2012,3488.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2013,4662.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2014,8278.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2015,8030.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2016,5698.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2017,6860.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2018,10926.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2019,20753.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2020,458.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2021,402.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2022,1633.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2023,2337.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nəsimi rayonu,2024,45032.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2006,198.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2007,1283.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2008,994.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2009,631.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2010,461.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2011,1184.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2012,1353.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2013,2957.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Nizami rayonu,2014,2665.0
