rayon,year,capacity,rooms,nights,nights_domestic,nights_foreign,guests,guests_domestic,guests_foreign,revenue,expense,employees,economic_region,area_sqkm,hotel_density,revenue_per_capacity,revenue_per_guest,expense_per_guest,avg_stay,occupancy_proxy,emp_per_capacity,foreign_tourist_ratio,domestic_tourist_ratio,profit,profit_per_capacity,foreign_night_ratio
Quba rayonu,2008,801.0,332.0,9012.0,8153.0,859.0,6584.0,6132.0,452.0,523.0,512.4,180.0,Guba-Khachmaz,,0.0,0.6529338327091136,0.07943499392466585,0.07782503037667071,1.3687727825030376,0.030824483094761684,0.2247191011235955,0.06865127582017011,0.93134872417983,10.600000000000023,0.01323345817727843,0.0953173546382601
Quba-Xaçmaz iqtisadi rayonu,2008,5783.0,2115.0,144104.0,142241.0,1863.0,31753.0,30845.0,908.0,3614.7,3731.6,559.0,,,0.0,0.6250561992045651,0.1138380625452713,0.11751960444682392,4.538279847573458,0.06827001200969303,0.09666263185197994,0.028595723238749093,0.9714042767612509,-116.90000000000009,-0.02021442158049457,0.01292816299339366
Qusar rayonu,2008,225.0,110.0,11608.0,11608.0,,1812.0,1812.0,,47.7,43.9,25.0,Guba-Khachmaz,,0.0,0.21200000000000002,0.02632450331125828,0.02422737306843267,6.406181015452539,0.1413455098934551,0.1111111111111111,0.0,1.0,3.8000000000000043,0.016888888888888908,0.0
Qəbələ rayonu,2008,616.0,260.0,20900.0,19446.0,1454.0,15403.0,14566.0,837.0,788.7,695.2,143.0,,,0.0,1.280357142857143,0.051204310848536,0.04513406479257288,1.356878530156463,0.09295499021526418,0.23214285714285715,0.054340063623969356,0.9456599363760306,93.5,0.15178571428571427,0.06956937799043063
Saatlı rayonu,2008,100.0,61.0,2347.0,2017.0,330.0,1901.0,1761.0,,126.0,97.5,33.0,Mil-Mughan,,0.0,1.26,0.06628090478695424,0.05128879537085744,1.2346133613887427,0.0643013698630137,0.33,0.0,0.9263545502367175,28.5,0.285,0.1406050276949297
Sabirabad rayonu,2008,6.0,4.0,1010.0,1010.0,,525.0,525.0,,23.5,17.6,5.0,Mil-Mughan,1466.33041279,0.004091847204194412,3.9166666666666665,0.04476190476190476,0.033523809523809525,1.9238095238095239,0.4611872146118721,0.8333333333333334,0.0,1.0,5.899999999999999,0.9833333333333331,0.0
Sabunçu rayonu,2008,16.0,16.0,60.0,60.0,,20.0,20.0,,5.8,5.4,12.0,Baku,,0.0,0.3625,0.29,0.27,3.0,0.010273972602739725,0.75,0.0,1.0,0.39999999999999947,0.024999999999999967,0.0
Salyan rayonu,2008,101.0,66.0,1075.0,1075.0,,625.0,625.0,,5.2,5.3,3.0,,1916.78295505,0.05269245520673225,0.05148514851485149,0.008320000000000001,0.00848,1.72,0.029160450291604502,0.0297029702970297,0.0,1.0,-0.09999999999999964,-0.0009900990099009866,0.0
Siyəzən rayonu,2008,280.0,90.0,6192.0,6192.0,,168.0,168.0,,,275.5,15.0,Guba-Khachmaz,,0.0,0.0,0.0,1.6398809523809523,36.857142857142854,0.06058708414872799,0.05357142857142857,0.0,1.0,0.0,0.0,0.0
Sumqayıt şəhəri,2008,856.0,280.0,3372.0,2314.0,1058.0,1575.0,997.0,578.0,374.2,352.5,75.0,Absheron,,0.0,0.43714953271028034,0.23758730158730157,0.22380952380952382,2.140952380952381,0.010792472154653694,0.08761682242990654,0.36698412698412697,0.633015873015873,21.69999999999999,0.025350467289719614,0.3137603795966785
Suraxanı rayonu,2008,37.0,29.0,935.0,127.0,808.0,843.0,127.0,716.0,654.2,334.2,29.0,Baku,,0.0,17.681081081081082,0.7760379596678529,0.39644128113879,1.1091340450771057,0.06923361717882266,0.7837837837837838,0.8493475682087782,0.1506524317912218,320.00000000000006,8.648648648648651,0.8641711229946524
Səbail rayonu,2008,2166.0,1146.0,150272.0,46554.0,103718.0,39839.0,15412.0,24427.0,12478.7,7829.4,907.0,Baku,,0.0,5.761172668513389,0.3132282436808153,0.1965260172193077,3.7719822284695903,0.19007576619992664,0.41874422899353647,0.6131429001731972,0.3868570998268029,4649.300000000001,2.146491228070176,0.6902017674616695
Tərtər rayonu,2008,30.0,15.0,682.0,682.0,,385.0,385.0,,4.0,4.0,2.0,Karabakh,,0.0,0.13333333333333333,0.01038961038961039,0.01038961038961039,1.7714285714285714,0.06228310502283105,0.06666666666666667,0.0,1.0,0.0,0.0,0.0
Ucar rayonu,2008,52.0,19.0,,,,,,,,,1.0,Central Aran,,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0
Xaçmaz rayonu,2008,4409.0,1550.0,116230.0,115226.0,1004.0,22677.0,22221.0,456.0,3024.0,2878.2,321.0,Guba-Khachmaz,,0.0,0.6858698117486959,0.13335097235084006,0.12692155046963882,5.125457512016581,0.07222462149339613,0.0728056248582445,0.020108479957666358,0.9798915200423336,145.80000000000018,0.033068723066455016,0.008638045255097652
Xızı rayonu,2008,326.0,141.0,2590.0,1960.0,630.0,2318.0,1965.0,353.0,132.5,257.1,34.0,Absheron,,0.0,0.40644171779141103,0.05716134598792062,0.11091458153580674,1.1173425366695426,0.021766535002941425,0.10429447852760736,0.15228645383951683,0.8477135461604832,-124.60000000000002,-0.3822085889570553,0.24324324324324326
Xətai rayonu,2008,98.0,48.0,11920.0,3860.0,8060.0,6020.0,1682.0,4338.0,55.6,68.9,21.0,Baku,,0.0,0.5673469387755102,0.009235880398671096,0.011445182724252493,1.9800664451827243,0.3332401453732178,0.21428571428571427,0.7205980066445182,0.2794019933554817,-13.300000000000004,-0.13571428571428576,0.6761744966442953
Xəzər rayonu,2008,1565.0,768.0,217344.0,198246.0,,,11024.0,15875.0,5765.1,4786.7,634.0,Baku,,0.0,3.6837699680511182,0.0,0.0,0.0,0.3804875486892205,0.405111821086262,0.0,0.0,978.4000000000005,0.6251757188498406,0.0
Yardımlı rayonu,2008,39.0,17.0,,,,,,,,,8.0,Lankaran-Astara,,0.0,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.0,0.0,0.0,0.0,0.0
Yasamal rayonu,2008,645.0,576.0,298718.0,5332.0,293386.0,69387.0,3574.0,65813.0,36447.0,38256.6,746.0,Baku,,0.0,56.50697674418605,0.5252713044230187,0.5513511176445155,4.3051003790335365,1.268845704576829,1.1565891472868217,0.9484917924106822,0.051508207589317886,-1809.5999999999985,-2.805581395348835,0.9821503893304052
Yevlax rayonu,2008,173.0,87.0,,,,,,,,,2.0,Central Aran,,0.0,0.0,0.0,0.0,0.0,0.0,0.011560693641618497,0.0,0.0,0.0,0.0,0.0
Zaqatala rayonu,2008,212.0,88.0,2588.0,2459.0,129.0,1867.0,1764.0,103.0,88.8,84.2,41.0,Sheki-Zagatala,,0.0,0.41886792452830185,0.047562935190144616,0.045099089448312805,1.3861810391001608,0.03344533471181184,0.19339622641509435,0.05516871987145153,0.9448312801285484,4.599999999999994,0.021698113207547144,0.049845440494590415
Zərdab rayonu,2008,20.0,11.0,736.0,732.0,4.0,195.0,191.0,4.0,11.2,34.9,7.0,Central Aran,,0.0,0.5599999999999999,0.05743589743589743,0.17897435897435895,3.7743589743589743,0.10082191780821918,0.35,0.020512820512820513,0.9794871794871794,-23.7,-1.185,0.005434782608695652
İmişli rayonu,2008,20.0,7.0,2175.0,2175.0,,921.0,921.0,140.0,4.8,4.6,4.0,Mil-Mughan,,0.0,0.24,0.005211726384364821,0.00499457111834962,2.3615635179153096,0.2979452054794521,0.2,0.15200868621064062,1.0,0.20000000000000018,0.010000000000000009,0.0
İsmayıllı rayonu,2008,169.0,89.0,3409.0,3314.0,95.0,1531.0,1469.0,62.0,10.2,15.4,18.0,Mountainous Shirvan,,0.0,0.06035502958579881,0.006662312214239059,0.010058785107772698,2.226649248856956,0.05526465104968793,0.10650887573964497,0.040496407576747225,0.9595035924232528,-5.200000000000001,-0.030769230769230774,0.027867409797594604
Şabran rayonu,2008,68.0,33.0,1062.0,1062.0,,512.0,512.0,,20.0,21.6,18.0,Guba-Khachmaz,,0.0,0.29411764705882354,0.0390625,0.0421875,2.07421875,0.04278807413376309,0.2647058823529412,0.0,1.0,-1.6000000000000014,-0.023529411764705903,0.0
Şamaxı rayonu,2008,562.0,256.0,22256.0,22223.0,33.0,8691.0,8658.0,33.0,470.1,384.3,99.0,Mountainous Shirvan,,0.0,0.8364768683274022,0.05409043838453573,0.044218156713841904,2.5608100333678516,0.10849705065080681,0.17615658362989323,0.0037970314118053157,0.9962029685881947,85.80000000000001,0.1526690391459075,0.00148274622573688
Şirvan şəhəri,2008,128.0,56.0,21026.0,20674.0,352.0,1956.0,1777.0,179.0,26.1,30.2,16.0,,,0.0,0.20390625,0.01334355828220859,0.015439672801635992,10.749488752556237,0.4500428082191781,0.125,0.09151329243353783,0.9084867075664622,-4.099999999999998,-0.03203124999999998,0.016741177589650907
Şirvan-Salyan iqtisadi rayonu,2008,325.0,168.0,23527.0,23175.0,352.0,3514.0,3335.0,179.0,36.7,40.8,25.0,,1916.78295505,0.16955493012067308,0.11292307692307693,0.010443938531587935,0.011610700056915196,6.695219123505976,0.19833087460484722,0.07692307692307693,0.050939100739897554,0.9490608992601024,-4.099999999999994,-0.012615384615384598,0.014961533557189611
Şəki rayonu,2008,420.0,198.0,28416.0,26442.0,1974.0,6124.0,4211.0,1913.0,389.0,466.4,102.0,,,0.0,0.9261904761904762,0.06352057478772044,0.07615937295885042,4.640104506858263,0.18536203522504893,0.24285714285714285,0.31237753102547355,0.6876224689745265,-77.39999999999998,-0.18428571428571422,0.0694679054054054
Şəki-Zaqatala iqtisadi rayonu,2008,1720.0,752.0,74315.0,70564.0,3751.0,27393.0,24474.0,2919.0,2084.7000000000003,2025.4000000000003,371.0,,,0.0,1.2120348837209305,0.07610338407622386,0.07393859745190379,2.712919358960318,0.11837368588722523,0.21569767441860466,0.10656007009089913,0.8934399299091008,59.299999999999955,0.03447674418604649,0.05047433223440759
Şəmkir rayonu,2008,36.0,24.0,840.0,723.0,117.0,360.0,313.0,47.0,47.4,2.9,9.0,Gazakh-Tovuz,,0.0,1.3166666666666667,0.13166666666666665,0.008055555555555555,2.3333333333333335,0.0639269406392694,0.25,0.13055555555555556,0.8694444444444445,44.5,1.2361111111111112,0.1392857142857143
Abşeron iqtisadi rayonu,2009,1485.0,623.0,10753.0,7161.0,3592.0,7168.0,6150.0,1018.0,969.3,1159.8999999999999,234.0,,,0.0,0.6527272727272727,0.1352260044642857,0.16181640625,1.5001395089285714,0.019838568331719018,0.15757575757575756,0.14202008928571427,0.8579799107142857,-190.5999999999999,-0.1283501683501683,0.33404631265693296
Abşeron rayonu,2009,266.0,157.0,3103.0,2687.0,416.0,2784.0,2687.0,97.0,374.8,455.7,113.0,Absheron,,0.0,1.4090225563909775,0.1346264367816092,0.1636853448275862,1.1145833333333333,0.03196003707899887,0.424812030075188,0.03484195402298851,0.9651580459770115,-80.89999999999998,-0.3041353383458646,0.13406380921688688
Astara rayonu,2009,229.0,99.0,2586.0,1101.0,1485.0,2223.0,1030.0,1193.0,57.6,58.7,23.0,Lankaran-Astara,461.5057835,0.4962017989531869,0.251528384279476,0.02591093117408907,0.026405757984705354,1.163292847503374,0.03093856553209308,0.10043668122270742,0.5366621682411156,0.4633378317588844,-1.1000000000000014,-0.004803493449781666,0.574245939675174
Ağcabədi rayonu,2009,60.0,30.0,155.0,155.0,,155.0,155.0,,1.2,2.1,2.0,Karabakh,,0.0,0.02,0.007741935483870968,0.013548387096774195,1.0,0.007077625570776256,0.03333333333333333,0.0,1.0,-0.9000000000000001,-0.015000000000000003,0.0
Ağdaş rayonu,2009,98.0,57.0,580.0,580.0,,480.0,480.0,,5.1,27.2,6.0,Central Aran,,0.0,0.05204081632653061,0.010624999999999999,0.056666666666666664,1.2083333333333333,0.016214705060106235,0.061224489795918366,0.0,1.0,-22.1,-0.22551020408163266,0.0
Ağstafa rayonu,2009,74.0,34.0,5072.0,4721.0,351.0,4916.0,4645.0,271.0,60.8,34.2,12.0,Gazakh-Tovuz,,0.0,0.8216216216216216,0.012367778681855165,0.006956875508543532,1.03173311635476,0.187782302850796,0.16216216216216217,0.05512611879576892,0.9448738812042311,26.599999999999994,0.3594594594594594,0.06920347003154574
Ağsu rayonu,2009,81.0,45.0,720.0,720.0,,360.0,360.0,,5.2,6.0,4.0,Mountainous Shirvan,,0.0,0.06419753086419754,0.014444444444444446,0.016666666666666666,2.0,0.0243531202435312,0.04938271604938271,0.0,1.0,-0.7999999999999998,-0.009876543209876541,0.0
Bakı şəhəri,2009,7768.0,4369.0,831654.0,327388.0,504266.0,243442.0,64056.0,179386.0,81187.1,69784.4,3528.0,,,0.0,10.45148043254377,0.33349668504202234,0.28665719144601176,3.4162305600512646,0.2933192726041505,0.45417095777548916,0.736873670114442,0.26312632988555795,11402.700000000012,1.4679067971163764,0.6063410985818621
Balakən rayonu,2009,48.0,24.0,352.0,352.0,,352.0,352.0,,5.6,6.9,3.0,Sheki-Zagatala,,0.0,0.11666666666666665,0.015909090909090907,0.01960227272727273,1.0,0.02009132420091324,0.0625,0.0,1.0,-1.3000000000000007,-0.027083333333333348,0.0
Beyləqan rayonu,2009,29.0,17.0,,,,,,,3.9,4.6,2.0,Mil-Mughan,,0.0,0.13448275862068965,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,-0.6999999999999997,-0.024137931034482748,0.0
Biləsuvar rayonu,2009,56.0,22.0,422.0,422.0,,319.0,319.0,,13.5,10.2,3.0,,,0.0,0.24107142857142858,0.04231974921630094,0.03197492163009404,1.322884012539185,0.020645792563600784,0.05357142857142857,0.0,1.0,3.3000000000000007,0.05892857142857144,0.0
Binəqədi rayonu,2009,767.0,293.0,17674.0,12301.0,5373.0,3911.0,632.0,3279.0,834.2,1100.4,130.0,Baku,,0.0,1.08761408083442,0.21329583226796217,0.28136026591664537,4.519048836614677,0.06313157471736529,0.1694915254237288,0.8384045001278445,0.16159549987215546,-266.20000000000005,-0.34706649282920476,0.3040058843498925
Bərdə rayonu,2009,108.0,75.0,,,,,,,,,2.0,Karabakh,,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0
Cəlilabad rayonu,2009,126.0,65.0,3109.0,3084.0,25.0,1346.0,1332.0,14.0,42.8,9.5,8.0,Lankaran-Astara,,0.0,0.33968253968253964,0.03179791976225854,0.007057949479940565,2.3098068350668646,0.06760165253315938,0.06349206349206349,0.010401188707280832,0.9895988112927192,33.3,0.2642857142857143,0.008041170794467674
Dağlıq Şirvan iqtisadi rayonu,2009,1277.0,586.0,36060.0,35980.0,80.0,12111.0,12031.0,80.0,1174.8,514.7,213.0,,,0.0,0.9199686765857478,0.09700272479564033,0.04249855503261498,2.9774585087936587,0.07736454232415443,0.1667971808927173,0.006605565188671456,0.9933944348113285,660.0999999999999,0.5169146436961628,0.0022185246810870773
Goranboy rayonu,2009,33.0,17.0,760.0,760.0,,215.0,215.0,,17.5,21.5,6.0,Ganja-Dashkasan,1837.87389756,0.01795553005231289,0.5303030303030303,0.08139534883720931,0.1,3.5348837209302326,0.0630967206309672,0.18181818181818182,0.0,1.0,-4.0,-0.12121212121212122,0.0
Göygöl rayonu,2009,110.0,39.0,2245.0,2245.0,,1840.0,1840.0,,78.8,55.6,9.0,,,0.0,0.7163636363636363,0.042826086956521736,0.030217391304347828,1.2201086956521738,0.055915317559153174,0.08181818181818182,0.0,1.0,23.199999999999996,0.21090909090909088,0.0
Göyçay rayonu,2009,57.0,34.0,993.0,831.0,162.0,829.0,681.0,148.0,5.9,10.1,7.0,Central Aran,,0.0,0.10350877192982456,0.0071170084439083235,0.01218335343787696,1.197828709288299,0.04772891131939438,0.12280701754385964,0.17852834740651388,0.8214716525934861,-4.199999999999999,-0.07368421052631578,0.16314199395770393
Gədəbəy rayonu,2009,137.0,60.0,100.0,100.0,,100.0,100.0,,19.5,21.3,12.0,Ganja-Dashkasan,,0.0,0.14233576642335766,0.195,0.213,1.0,0.001999800019998,0.08759124087591241,0.0,1.0,-1.8000000000000007,-0.013138686131386867,0.0
Gəncə  şəhəri,2009,967.0,516.0,15488.0,9860.0,5628.0,9293.0,8065.0,1228.0,783.1,547.4,80.0,,,0.0,0.8098241985522234,0.08426772839771872,0.05890455181319272,1.6666307973743677,0.043880947996203484,0.0827300930713547,0.1321424728290111,0.867857527170989,235.70000000000005,0.24374353671147886,0.36337809917355374
Gəncə-Daşkəsən iqtisadi rayonu,2009,4700.0,2050.0,25160.0,18425.0,6735.0,11794.0,10478.0,1316.0,1109.2,910.1,219.0,,,0.0,0.23600000000000002,0.09404782092589453,0.07716635577412244,2.133288112599627,0.01466627805304576,0.046595744680851064,0.11158216042055283,0.8884178395794472,199.10000000000002,0.04236170212765958,0.26768680445151033
Kürdəmir rayonu,2009,174.0,74.0,7555.0,7406.0,149.0,4055.0,3906.0,149.0,256.1,169.2,16.0,Central Aran,,0.0,1.4718390804597703,0.0631565967940814,0.04172626387176325,1.8631319358816276,0.11895764446543851,0.09195402298850575,0.036744759556103575,0.9632552404438964,86.90000000000003,0.499425287356322,0.019722038385175382
Lerik rayonu,2009,648.0,192.0,2052.0,2052.0,,592.0,592.0,,202.2,170.5,31.0,Lankaran-Astara,1101.38591173,0.5883496357622325,0.312037037037037,0.34155405405405403,0.28800675675675674,3.4662162162162162,0.008675799086757991,0.047839506172839504,0.0,1.0,31.69999999999999,0.048919753086419736,0.0
Lənkəran iqtisadi rayonu,2009,2692.0,1060.0,98316.0,95406.0,2910.0,32426.0,30608.0,1818.0,2494.3,1063.6,275.0,,,0.0,0.9265601783060922,0.07692283969653982,0.032800838833035216,3.032011348917535,0.10005902827250707,0.10215453194650817,0.05606611978042312,0.9439338802195769,1430.7000000000003,0.5314635958395246,0.029598437690711583
Lənkəran rayonu,2009,411.0,211.0,7813.0,6413.0,1400.0,4306.0,3695.0,611.0,406.6,405.7,65.0,,,0.0,0.9892944038929441,0.0944263817928472,0.09421737111007895,1.8144449605202044,0.05208145852081458,0.15815085158150852,0.14189503019043195,0.8581049698095681,0.9000000000000341,0.0021897810218978932,0.17918853193395623
Masallı rayonu,2009,1248.0,472.0,82756.0,82756.0,,23959.0,23959.0,,1785.1,419.2,146.0,Lankaran-Astara,,0.0,1.4303685897435896,0.0745064485162152,0.01749655661755499,3.454067365082015,0.18167369160519845,0.11698717948717949,0.0,1.0,1365.8999999999999,1.0944711538461538,0.0
Mil-Muğan iqtisadi rayonu,2009,154.0,89.0,3497.0,3270.0,227.0,2761.0,2648.0,113.0,157.0,129.8,41.0,,,0.0,1.0194805194805194,0.05686345526982977,0.047011952191235065,1.266570083303151,0.062213129336417004,0.2662337662337662,0.04092720028975009,0.95907279971025,27.19999999999999,0.17662337662337654,0.06491278238490135
Mingəçevir şəhəri,2009,764.0,290.0,12208.0,12208.0,,11797.0,11797.0,,157.5,143.1,42.0,Central Aran,,0.0,0.206151832460733,0.013350851911502924,0.0121302025938798,1.0348393659404933,0.04377823997704942,0.0549738219895288,0.0,1.0,14.400000000000006,0.018848167539267022,0.0
Mərkəzi Aran iqtisadi rayonu,2009,1338.0,572.0,21577.0,21264.0,313.0,17328.0,17029.0,299.0,432.90000000000003,365.2,83.0,,,0.0,0.323542600896861,0.02498268698060942,0.021075715604801478,1.2452100646352724,0.044181665540471364,0.06203288490284006,0.017255309325946443,0.9827446906740536,67.70000000000005,0.050597907324364755,0.014506187143717847
Naftalan  şəhəri,2009,3590.0,1478.0,6667.0,5560.0,1107.0,446.0,358.0,88.0,229.8,285.6,124.0,,15.57198574,230.54220957692706,0.06401114206128133,0.5152466367713004,0.6403587443946189,14.948430493273543,0.005087953600183157,0.03454038997214485,0.19730941704035873,0.8026905829596412,-55.80000000000001,-0.015543175487465184,0.16604169791510426
Neftçala rayonu,2009,60.0,32.0,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0
Nizami rayonu,2009,181.0,98.0,13705.0,7999.0,5706.0,6870.0,5277.0,1593.0,836.9,1357.6,51.0,Baku,,0.0,4.623756906077348,0.12181950509461426,0.19761280931586608,1.99490538573508,0.20744721107999697,0.281767955801105,0.2318777292576419,0.7681222707423581,-520.6999999999999,-2.876795580110497,0.41634439985406785
Nərimanov rayonu,2009,1247.0,572.0,29098.0,14789.0,14309.0,6574.0,1528.0,5046.0,4893.9,4932.7,287.0,Baku,,0.0,3.9245388933440255,0.7444326133252205,0.7503346516580468,4.426224520839671,0.06392987004427063,0.2301523656776263,0.7675692120474596,0.2324307879525403,-38.80000000000018,-0.031114675220529416,0.4917520104474534
Nəsimi rayonu,2009,1786.0,1055.0,140086.0,21835.0,118251.0,85046.0,16464.0,68582.0,20320.6,14588.9,605.0,Baku,,0.0,11.377715565509517,0.23893657550031747,0.1715412835406721,1.647179173623686,0.21489208302014143,0.33874580067189247,0.8064106483550079,0.1935893516449921,5731.699999999999,3.2092385218365056,0.8441314621018517
Oğuz rayonu,2009,113.0,43.0,1044.0,1044.0,,1044.0,1044.0,,31.9,32.2,12.0,Sheki-Zagatala,,0.0,0.2823008849557522,0.030555555555555555,0.03084291187739464,1.0,0.025312159049581767,0.10619469026548672,0.0,1.0,-0.30000000000000426,-0.002654867256637206,0.0
Qarabağ iqtisadi rayonu,2009,198.0,120.0,805.0,805.0,,389.0,389.0,,7.3,8.2,6.0,,,0.0,0.03686868686868687,0.018766066838046273,0.02107969151670951,2.069408740359897,0.01113878511138785,0.030303030303030304,0.0,1.0,-0.8999999999999995,-0.004545454545454543,0.0
Qaradağ rayonu,2009,,,,,20532.0,26895.0,,,,,,Baku,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qax rayonu,2009,494.0,212.0,22556.0,22002.0,554.0,3753.0,3516.0,237.0,712.3,638.1,89.0,Sheki-Zagatala,,0.0,1.441902834008097,0.18979483080202503,0.17002398081534773,6.010125233146816,0.12509566857079474,0.18016194331983806,0.06314948041566747,0.9368505195843325,74.19999999999993,0.15020242914979742,0.024561092392268134
Qazax rayonu,2009,272.0,133.0,1479.0,1269.0,210.0,1479.0,1269.0,210.0,64.5,20.4,14.0,Gazakh-Tovuz,,0.0,0.23713235294117646,0.0436105476673428,0.013793103448275862,1.0,0.014897260273972602,0.051470588235294115,0.14198782961460446,0.8580121703853956,44.1,0.16213235294117648,0.14198782961460446
Qazax-Tovuz iqtisadi rayonu,2009,519.0,251.0,7095.0,6493.0,602.0,6725.0,6211.0,514.0,173.10000000000002,86.60000000000001,45.0,,1818.350328,0.2854235468315102,0.33352601156069367,0.025739776951672864,0.01287732342007435,1.0550185873605948,0.03745348008551746,0.08670520231213873,0.07643122676579926,0.9235687732342007,86.50000000000001,0.16666666666666669,0.08484848484848485
Quba rayonu,2009,979.0,427.0,13179.0,12183.0,996.0,6729.0,6037.0,692.0,767.8,754.4,179.0,Guba-Khachmaz,,0.0,0.7842696629213483,0.1141031356813791,0.11211175508990934,1.9585376727596968,0.03688135782948774,0.18283963227783454,0.10283846039530391,0.8971615396046961,13.399999999999977,0.013687436159346249,0.07557477805599817
Quba-Xaçmaz iqtisadi rayonu,2009,6356.0,2414.0,152525.0,149834.0,2691.0,32838.0,31957.0,881.0,4982.1,4473.900000000001,533.0,,,0.0,0.7838420390182506,0.15171752238260552,0.1362415494244473,4.644771301540898,0.06574523479055493,0.08385777218376338,0.026828674097082648,0.9731713259029173,508.1999999999998,0.07995594713656384,0.0176430093427307
Qusar rayonu,2009,283.0,120.0,5809.0,4863.0,946.0,1892.0,1797.0,95.0,277.0,1235.5,40.0,Guba-Khachmaz,,0.0,0.9787985865724381,0.1464059196617336,0.6530126849894292,3.0702959830866807,0.05623699114187521,0.1413427561837456,0.05021141649048626,0.9497885835095138,-958.5,-3.3869257950530036,0.16285074883800998
Qəbələ rayonu,2009,602.0,267.0,17406.0,12612.0,4794.0,12734.0,11847.0,887.0,662.1,700.1,92.0,,,0.0,1.0998338870431894,0.05199465996544684,0.05497879692162714,1.3668917857703786,0.0792154007190643,0.15282392026578073,0.06965603895084027,0.9303439610491597,-38.0,-0.06312292358803986,0.27542226818338506
Saatlı rayonu,2009,99.0,61.0,1880.0,1653.0,227.0,1644.0,1531.0,,124.2,103.5,32.0,Mil-Mughan,,0.0,1.2545454545454546,0.07554744525547445,0.06295620437956205,1.143552311435523,0.052027120520271204,0.32323232323232326,0.0,0.931265206812652,20.700000000000003,0.20909090909090913,0.12074468085106382
Sabirabad rayonu,2009,6.0,4.0,1000.0,1000.0,,500.0,500.0,,21.5,18.5,5.0,Mil-Mughan,1466.33041279,0.004091847204194412,3.5833333333333335,0.043,0.037,2.0,0.45662100456621,0.8333333333333334,0.0,1.0,3.0,0.5,0.0
Sabunçu rayonu,2009,93.0,93.0,978.0,608.0,370.0,560.0,440.0,120.0,147.3,220.1,58.0,Baku,,0.0,1.5838709677419356,0.2630357142857143,0.39303571428571427,1.7464285714285714,0.028811312417145383,0.6236559139784946,0.21428571428571427,0.7857142857142857,-72.79999999999998,-0.782795698924731,0.3783231083844581
Salyan rayonu,2009,165.0,100.0,,,,,,,,,2.0,,1916.78295505,0.08608173375357249,0.0,0.0,0.0,0.0,0.0,0.012121212121212121,0.0,0.0,0.0,0.0,0.0
Siyəzən rayonu,2009,128.0,54.0,3410.0,3410.0,,68.0,68.0,,,50.8,14.0,Guba-Khachmaz,,0.0,0.0,0.0,0.7470588235294118,50.14705882352941,0.07298801369863013,0.109375,0.0,1.0,0.0,0.0,0.0
Sumqayıt şəhəri,2009,839.0,302.0,5556.0,2804.0,2752.0,2371.0,1793.0,578.0,473.2,424.9,67.0,Absheron,,0.0,0.5640047675804529,0.1995782370307887,0.17920708561788273,2.343315056938001,0.018142929449605695,0.07985697258641239,0.24377899620413326,0.7562210037958668,48.30000000000001,0.05756853396901074,0.4953203743700504
Suraxanı rayonu,2009,40.0,15.0,203.0,203.0,,130.0,130.0,,32.4,33.8,3.0,Baku,,0.0,0.8099999999999999,0.24923076923076923,0.25999999999999995,1.5615384615384615,0.013904109589041097,0.075,0.0,1.0,-1.3999999999999986,-0.03499999999999996,0.0
Səbail rayonu,2009,1144.0,776.0,159746.0,46470.0,113276.0,40302.0,15818.0,24484.0,15603.2,9436.7,920.0,Baku,,0.0,13.639160839160839,0.3871569649148926,0.23414966999156372,3.963723884670736,0.38257016955647094,0.8041958041958042,0.6075132747754454,0.39248672522455463,6166.5,5.3902972027972025,0.7091006973570543
Tərtər rayonu,2009,30.0,15.0,650.0,650.0,,234.0,234.0,,6.1,6.1,2.0,Karabakh,,0.0,0.2033333333333333,0.026068376068376066,0.026068376068376066,2.7777777777777777,0.0593607305936073,0.06666666666666667,0.0,1.0,0.0,0.0,0.0
Ucar rayonu,2009,52.0,19.0,,,,,,,,,1.0,Central Aran,,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0
Xaçmaz rayonu,2009,4869.0,1766.0,128414.0,127665.0,749.0,23199.0,23105.0,94.0,3863.3,2372.7,282.0,Guba-Khachmaz,,0.0,0.7934483466830972,0.16652872968662444,0.10227596017069701,5.535324798482693,0.07225696818282847,0.05791743684534812,0.004051898788740894,0.9959481012112591,1490.6000000000004,0.30614089135346073,0.005832697369445699
Xızı rayonu,2009,380.0,164.0,2094.0,1670.0,424.0,2013.0,1670.0,343.0,121.3,279.3,54.0,Absheron,,0.0,0.31921052631578944,0.06025832091405862,0.13874813710879286,1.0402384500745157,0.015097332372025955,0.14210526315789473,0.17039244908097367,0.8296075509190264,-158.0,-0.41578947368421054,0.20248328557784145
