file,title,indicator,year,value
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2015,4069.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2016,4220.5
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2017,4065.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2018,4891.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2019,5562.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2020,1219.4
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2021,907.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2022,1474.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2023,1822.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",Azərbaycan vətəndaşları,2024,2138.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2006,1262.0
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2007,1332.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2008,1898.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2009,1830.4
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2010,1962.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2011,2239.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2012,2484.1
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2013,2508.9
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2014,2297.8
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2015,2006.2
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2016,2248.8
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2017,2696.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2018,2849.6
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2019,3170.4
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2020,795.7
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2021,791.8
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2022,1602.3
002_1.xls,"2.1 Sərhəd-buraxılış məntəqələrindən keçən şəxslərin sayı, min nəfər",əcnəbilər və vətəndaşlığı olmayan şəxslər,2023,2085.8
